Year,Month,Day,Hour,temperature_f,wind_speed_mph,wind_bearing_deg,relative_humidity,visibility_miles_max_10,pressure_mb,Value,more_polluted
2014,2,16,8,25.04,2.13,348,0.71,1.5,1029.94,297,0
2014,2,16,11,38.1,3.17,72,0.33,2.67,1031.25,259,0
2014,2,16,14,42.54,4.63,121,0.26,3.99,1029.57,120,1
2014,2,16,17,39.46,6.4,181,0.36,3.27,1029.81,169,1
2014,2,16,20,35.49,1.85,198,0.49,3.69,1031.36,238,0
2014,2,16,23,33.53,3.34,147,0.55,1.9,1033.5,165,1
2014,2,17,2,29.13,0.65,93,0.56,4.13,1033.88,117,1
2014,2,17,5,26.7,3.56,32,0.52,4.75,1033.6,46,0
2014,2,17,8,30.02,2.53,110,0.52,3.72,1036.36,70,0
2014,2,17,11,36.95,7.32,128,0.25,5.1,1036.74,88,0
2014,2,17,14,39.31,4.4,159,0.21,6.18,1034.21,79,0
2014,2,17,17,34.91,7.08,155,0.35,5.9,1033.82,71,0
2014,2,17,20,30.51,9.51,179,0.35,5.79,1035.91,75,0
